GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
D. K-8 / 751 +,SOMERSET,5470,WARREN TWP,5014425,2398699,7413124,-405161
D. K-8 / 751 +,SUSSEX,640,BYRAM TWP,1377185,715962,2093147,586988
D. K-8 / 751 +,SUSSEX,2030,HARDYSTON TWP,1068600,476871,1545471,272061
D. K-8 / 751 +,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,749932,1125983,1875915,1006624
D. K-8 / 751 +,UNION,3470,MOUNTAINSIDE BORO,1170565,-346210,824355,388851
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,605901,198801,804702,194894
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,1033396,648039,1681435,-245661
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,1981968,510324,2492292,241090
E. K-12 / 0 - 1800,BERGEN,440,BOGOTA BORO,863241,1027921,1891162,1334768
E. K-12 / 0 - 1800,BERGEN,990,CRESSKILL BORO,1178554,302610,1481164,-48229
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,2390850,452786,2843636,547943
E. K-12 / 0 - 1800,BERGEN,3170,MIDLAND PARK BORO,2082238,571312,2653550,64624
E. K-12 / 0 - 1800,BERGEN,3600,NORTH ARLINGTON BORO,2622142,476619,3098761,444628
E. K-12 / 0 - 1800,BERGEN,3910,PALISADES PARK,1772167,879238,2651405,-579597
E. K-12 / 0 - 1800,BERGEN,3940,PARK RIDGE BORO,3612683,1692011,5304694,230735
E. K-12 / 0 - 1800,BERGEN,4370,RIDGEFIELD BORO,2099168,-101141,1998027,671603
E. K-12 / 0 - 1800,BERGEN,4610,SADDLE BROOK TWP,976820,950053,1926873,-367317
E. K-12 / 0 - 1800,BERGEN,5410,WALDWICK BORO,2905800,895199,3800999,-855161
E. K-12 / 0 - 1800,BERGEN,5430,WALLINGTON BORO,1322041,444395,1766436,126353
E. K-12 / 0 - 1800,BERGEN,5830,WOOD-RIDGE BORO,1509439,539066,2048505,-369347
E. K-12 / 0 - 1800,BURLINGTON,600,BURLINGTON CITY,2733676,1109892,3843568,188670
