GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,15847,58,16908,62,17221,56,581,547,552,
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,13913,38,14591,39,15975,45,500,492,487,
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,14632,45,12962,24,13926,30,475,484,481,
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,12743,25,12220,18,13761,27,424,443,424,
D. K-8 / 751 +,,,1. State average - Operating Type K-8,12696,,13356,,14159,,,,,
D. K-8 / 751 +,,,2. State median - Operating Type K-8,12874,,13637,,14532,,,,,
D. K-8 / 751 +,,,5. State average - All operating types,13733,,14166,,14781,,,,,
D. K-8 / 751 +,,,6. State median - All operating types,13198,,13714,,14080,,,,,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,11146,18,11019,10,11259,9,836,834,867,
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,12746,51,13459,47,14547,49,3432,3404,3370,
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,10813,13,11327,14,11893,13,3151,3079,3086,
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,13886,72,14263,70,15648,70,880,884,865,
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,11046,16,12167,23,12260,18,1048,1003,1021,
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,11953,29,12595,32,13032,27,1100,1080,1116,
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,12843,54,13990,62,14182,42,893,857,902,
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,13130,59,12755,36,16365,80,925,930,903,
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,13319,66,14565,75,14646,52,1122,1123,1126,
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,15519,83,15964,81,16298,79,773,764,781,
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,8685,2,9735,3,8590,1,1174,1185,1385,
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,17484,84,19151,84,20190,84,1414,1318,1277,
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,12214,35,13010,39,14245,43,1394,1334,1328,
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,10200,6,10542,5,10718,5,984,991,1009,
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,10929,15,10840,9,11059,7,912,919,986,
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,11929,28,12274,24,13007,26,1089,1079,1077,
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,13220,62,14097,66,14809,60,1707,1636,1629,
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,12796,53,13570,51,15670,72,775,756,798,
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,14074,75,13441,46,14528,48,1230,1293,1287,
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,12784,52,13592,52,15057,64,1354,1348,1334,
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,13918,73,14628,76,15804,76,794,779,796,
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,13262,63,14770,78,15312,67,2255,2115,2187,
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,11956,30,12428,27,13240,30,861,880,912,
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,12262,36,12827,38,13485,36,4722,4701,4692,
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,10600,12,14735,77,13304,31,1633,1234,1517,
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,11607,24,12452,28,13769,40,3016,2936,2891,
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,14678,79,13475,49,14607,51,983,1047,1099,
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,12289,37,13636,54,13684,38,4213,4142,4150,
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,12399,41,12634,34,13425,35,898,896,909,
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,13046,58,14311,71,15177,65,819,797,811,
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,10399,7,10692,7,11560,11,1006,1003,1010,
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,9853,4,10826,8,11508,10,1122,1094,1136,
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,9903,5,9980,4,10400,3,866,901,916,
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,10855,14,11086,12,11851,12,7025,6942,6940,
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,11143,17,11465,16,12885,24,842,865,839,
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,12379,39,12658,35,12855,22,782,805,875,
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,12390,40,13152,43,14438,46,3179,3108,3099,
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,12187,33,13401,45,14748,54,1407,1404,1321,
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,13169,60,13012,40,13639,37,856,903,907,
