GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,e21,E11,E31
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,11455,21,11852,35,12613,36,1407,1445,1398
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,11006,12,10488,12,10326,4,967,988,972
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,11497,24,11186,24,11282,14,927,931,918
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,11501,25,11345,26,12112,28,1093,1093,1092
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,13213,71,12873,67,13525,61,1692,1699,1696
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,12130,42,12609,63,14827,79,821,872,820
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,12283,46,12173,48,13037,44,1399,1376,1375
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,12730,61,12698,65,13428,58,1379,1386,1387
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,13771,75,13733,78,14445,75,815,846,820
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,12204,44,12299,53,13927,69,2326,2361,2239
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,11468,22,11682,33,12095,27,849,867,875
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,12653,59,12273,51,12649,38,4725,4804,4726
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,10844,10,10492,13,11972,24,1652,1686,1642
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,11750,32,11472,30,11997,25,3065,3113,3049
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,15125,82,14521,82,14922,80,985,1009,1054
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,11654,29,11829,34,12482,34,4302,4342,4307
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,12199,43,11949,37,12856,41,914,936,919
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,12821,63,12843,66,13541,62,794,798,805
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,12911,65,12152,46,13355,57,866,873,870
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,11024,14,10347,10,11286,15,995,953,999
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,10090,6,9591,4,10030,3,1139,1117,1169
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,10369,8,9655,5,10458,5,865,835,852
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,10445,9,10044,9,11238,13,7340,7429,7199
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,11722,30,11397,27,12391,33,830,828,824
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,12015,41,10897,18,11419,17,831,827,853
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,12911,65,12944,69,13462,60,3190,3177,3175
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,11927,39,12146,45,13263,52,1432,1472,1394
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,12430,53,12657,64,12760,39,898,931,902
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,12440,54,12416,55,14142,71,874,903,860
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,9013,1,6945,1,8637,1,1025,1023,1006
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,12393,51,12299,53,13233,49,1677,1719,1643
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,12356,50,12068,42,12644,37,3632,3639,3626
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,12939,67,12517,60,14034,70,2031,2089,1910
