GROUP,CONAME,DIST,DISTNAME,PP13,RK13,PCT13,SBA3,PP23,RK23,PCT23,SBB3,PP33,RK33,PCT33,SBC3
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,6523,12,0.562,0.932,5787,4,0.543,0.916,6054,4,0.537,0.924
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,7490,37,0.592,0.905,7493,37,0.603,0.925,7692,32,0.611,0.946
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,6311,8,0.632,0.960,5691,3,0.587,0.955,6283,7,0.566,0.949
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,7976,47,0.616,0.972,7001,26,0.553,0.977,7524,28,0.553,0.966
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,7424,34,0.559,0.923,7164,29,0.568,0.951,7601,31,0.547,0.932
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,7259,31,0.591,0.959,6809,23,0.567,0.952,6188,5,0.559,0.955
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,6858,20,0.530,0.917,7415,34,0.568,0.949,8067,44,0.553,0.945
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,7072,25,0.601,0.958,7464,35,0.609,0.967,7702,33,0.613,0.978
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,6618,15,0.530,0.929,6477,15,0.542,0.924,6532,13,0.551,0.924
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,7387,32,0.551,0.959,7312,32,0.559,0.974,7300,26,0.553,0.939
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,5554,3,0.558,0.939,5142,1,0.531,0.937,5408,2,0.510,0.929
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,7888,45,0.637,0.972,6746,21,0.604,0.973,6998,20,0.602,0.955
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,7236,29,0.512,0.968,7272,31,0.504,0.959,7716,36,0.510,0.966
